stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,zone_id,stop_url,location_type,parent_station,stop_timezone,wheelchair_boarding
5387,5387,"WASHINGTON AVE + JAMES ST",,40.356150,-80.113583,,,,,,0
5389,5389,"WASHINGTON AVE + MURRAY",,40.360333,-80.111396,,,,,,0
5390,5390,"WASHINGTON PIKE + SCHULTE",,40.362932,-80.110293,,,,,,0
5391,5391,"WASHINGTON PIKE + ANDERSON EQUIPMENT",,40.364544,-80.109230,,,,,,0
5392,5392,"WASHINGTON PIKE + MAYER",,40.365906,-80.107231,,,,,,0
5393,5393,"WASHINGTON PIKE + BANK OF AMERICA",,40.367592,-80.104187,,,,,,0
5394,5394,"WASHINGTON PIKE + GREAT SOUTHERN SHPG CTR",,40.368303,-80.102929,,,,,,0
5395,5395,"WASHINGTON PIKE + BERAM FS",,40.368943,-80.101863,,,,,,0
5396,5396,"WASHINGTON PIKE + VANADIUM",,40.370075,-80.100845,,,,,,0
5398,5398,"WASHINGTON PIKE + WINSTEIN",,40.373741,-80.099106,,,,,,0
5399,5399,"WASHINGTON PIKE + STEEN",,40.376175,-80.097809,,,,,,0
5401,5401,"WASHINGTON PIKE + #1375",,40.379403,-80.095900,,,,,,0
5403,5403,"RACEWAY FIRELANE + SHOP N SAVE",,40.387951,-80.093620,,,,,,0
5405,5405,"WASHINGTON AVE + MAIN",,40.409135,-80.083601,,,,,,0
5406,5406,"MAIN ST + CHESTNUT",,40.410029,-80.082633,,,,,,0
5407,5407,"NOBLESTOWN RD + IDLEWOOD",,40.413247,-80.078008,,,,,,0
5408,5408,"NOBLESTOWN RD + DUNCAN",,40.413083,-80.075495,,,,,,0
5409,5409,"NOBLESTOWN RD + ALTER",,40.413765,-80.073312,,,,,,0
5411,5411,"NOBLESTOWN RD + #640",,40.415791,-80.070707,,,,,,0
5412,5412,"NOBLESTOWN RD + HAWTHORNE",,40.416294,-80.067123,,,,,,0
5413,5413,"NOBLESTOWN RD + MANSFIELD FS",,40.417135,-80.066124,,,,,,0
5414,5414,"NOBLESTOWN RD + #2793",,40.419037,-80.066485,,,,,,0
5416,5416,"NOBLESTOWN RD + BRENFORD",,40.420562,-80.066827,,,,,,0
5418,5418,"NOBLESTOWN RD + DURBIN",,40.423628,-80.066591,,,,,,0
5419,5419,"NOBLESTOWN RD + HOLIDAY DR",,40.426341,-80.061945,,,,,,0
5420,5420,"NOBLESTOWN RD + SCHOOL",,40.426422,-80.057121,,,,,,0
5421,5421,"NOBLESTOWN RD + NOBLE MANOR (COGOS)",,40.427067,-80.055400,,,,,,0
5422,5422,"NOBLESTOWN RD + POPLAR",,40.427818,-80.053781,,,,,,0
5423,5423,"NOBLESTOWN RD + #2212",,40.429879,-80.053421,,,,,,0
5424,5424,"NOBLESTOWN RD + #2148 (SHOP-N-SAVE DR #1)",,40.431142,-80.053322,,,,,,0
