trip_id,route_id,service_id,trip_headsign,trip_short_name,direction_id,block_id,shape_id,wheelchair_accessible,bikes_allowed
8647070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-109,shp-71D-51,1,1
8681020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-181,shp-71D-51,1,1
8352070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-111,shp-71D-51,1,1
8344010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-090,shp-71D-51,1,1
5447020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-190,shp-71D-51,1,1
3162020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-178,shp-71D-51,1,1
2277020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-189,shp-71D-51,1,1
2270080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-086,shp-71D-51,1,1
2158020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-186,shp-71D-51,1,1
2943080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-088,shp-71D-51,1,1
1660020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-195,shp-71D-51,1,1
1712070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-105,shp-71D-51,1,1
1492010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-082,shp-71D-51,1,1
13554020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-192,shp-71D-51,1,1
14084080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-090,shp-71D-51,1,1
2212080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-084,shp-71D-51,1,1
2263070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-113,shp-71D-51,1,1
1483080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-091,shp-71D-51,1,1
13971010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-090,shp-71D-51,1,1
234010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-086,shp-71D-51,1,1
12346020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-196,shp-71D-51,1,1
13470070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-102,shp-71D-51,1,1
13129070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-104,shp-71D-51,1,1
1297010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-083,shp-71D-51,1,1
13804020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-197,shp-71D-51,1,1
13864070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-103,shp-71D-51,1,1
12797080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-088,shp-71D-51,1,1
13404080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-081,shp-71D-51,1,1
1618070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-102,shp-71D-51,1,1
13521080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-087,shp-71D-51,1,1
14017070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-114,shp-71D-51,1,1
13399020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-184,shp-71D-51,1,1
13362070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-103,shp-71D-51,1,1
13401080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-081,shp-71D-51,1,1
1455080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-088,shp-71D-51,1,1
10149070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-104,shp-71D-51,1,1
1037070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-109,shp-71D-51,1,1
10356020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-188,shp-71D-51,1,1
10274080,71D,2,OUTBOUND-WILKINSBURG STATION,,0,71D-090,shp-71D-51,1,1
10184070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-106,shp-71D-51,1,1
10090020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-196,shp-71D-51,1,1
11243020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-194,shp-71D-51,1,1
11186020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-190,shp-71D-51,1,1
10587070,71D,1,OUTBOUND-WILKINSBURG STATION,,0,71D-110,shp-71D-51,1,1
11096010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-090,shp-71D-51,1,1
1048020,71D,3,OUTBOUND-WILKINSBURG STATION,,0,71D-182,shp-71D-51,1,1
10471010,71D,4,OUTBOUND-WILKINSBURG STATION,,0,71D-091,shp-71D-51,1,1
